calendar_date,day_of_week,holiday,quantity
2021/8/27,5,,487
2021/8/28,6,,535
2021/8/29,7,,507
2021/8/30,1,,465
2021/8/31,2,,469
2021/9/1,3,,501
2021/9/2,4,,470
2021/9/3,5,,492
2021/9/4,6,,553
2021/9/5,7,,538
2021/9/6,1,,489
2021/9/7,2,,509
2021/9/8,3,,468
2021/9/9,4,,487
2021/9/10,5,,483
2021/9/11,6,,509
2021/9/12,7,,531
2021/9/13,1,,511
2021/9/14,2,,477
2021/9/15,3,,496
2021/9/16,4,,494
2021/9/17,5,,500
2021/9/18,6,,511
2021/9/19,7,MoonFestival,555
2021/9/20,1,MoonFestival,507
2021/9/21,2,MoonFestival,474
2021/9/22,3,,521
2021/9/23,4,,504
2021/9/24,5,,508
2021/9/25,6,,528
2021/9/26,7,,535
2021/9/27,1,,491
2021/9/28,2,,485
2021/9/29,3,,508
2021/9/30,4,,483
2021/10/1,5,NationalDay,606
2021/10/2,6,NationalDay,629
2021/10/3,7,NationalDay,661
2021/10/4,1,NationalDay,589
2021/10/5,2,NationalDay,595
2021/10/6,3,NationalDay,595
2021/10/7,4,NationalDay,586
2021/10/8,5,,529
2021/10/9,6,,562
2021/10/10,7,,559
2021/10/11,1,,521
2021/10/12,2,,509
2021/10/13,3,,517
2021/10/14,4,,524
2021/10/15,5,,501
2021/10/16,6,,581
2021/10/17,7,,545
2021/10/18,1,,521
2021/10/19,2,,520
2021/10/20,3,,548
2021/10/21,4,,519
2021/10/22,5,,531
2021/10/23,6,,544
2021/10/24,7,,556
2021/10/25,1,,552
2021/10/26,2,,516
2021/10/27,3,,554
2021/10/28,4,,532
2021/10/29,5,,554
2021/10/30,6,,562
2021/10/31,7,,587
2021/11/1,1,,563
2021/11/2,2,,514
2021/11/3,3,,523
2021/11/4,4,,535
2021/11/5,5,,527
2021/11/6,6,,560
2021/11/7,7,,560
2021/11/8,1,,560
2021/11/9,2,,532
2021/11/10,3,,541
2021/11/11,4,,562
2021/11/12,5,,555
2021/11/13,6,,600
2021/11/14,7,,562
2021/11/15,1,,569
2021/11/16,2,,532
2021/11/17,3,,532
2021/11/18,4,,559
2021/11/19,5,,544
2021/11/20,6,,601
2021/11/21,7,,607
2021/11/22,1,,556
2021/11/23,2,,546
2021/11/24,3,,568
2021/11/25,4,,572
2021/11/26,5,,550
2021/11/27,6,,563
2021/11/28,7,,593
2021/11/29,1,,532
2021/11/30,2,,558
2021/12/1,3,,576
2021/12/2,4,,564
2021/12/3,5,,539
2021/12/4,6,,610
2021/12/5,7,,624
2021/12/6,1,,545
2021/12/7,2,,573
2021/12/8,3,,561
2021/12/9,4,,546
2021/12/10,5,,574
2021/12/11,6,,577
2021/12/12,7,,617
2021/12/13,1,,582
2021/12/14,2,,562
2021/12/15,3,,546
2021/12/16,4,,580
2021/12/17,5,,577
2021/12/18,6,,597
2021/12/19,7,,631
2021/12/20,1,,549
2021/12/21,2,,553
2021/12/22,3,,571
2021/12/23,4,,577
2021/12/24,5,,569
2021/12/25,6,,611
2021/12/26,7,,603
2021/12/27,1,,562
2021/12/28,2,,591
2021/12/29,3,,571
2021/12/30,4,,551
2021/12/31,5,NewYearsDay,650
2022/1/1,6,NewYearsDay,715
2022/1/2,7,NewYearsDay,686
2022/1/3,1,,575
2022/1/4,2,,568
2022/1/5,3,,557
2022/1/6,4,,553
2022/1/7,5,,551
2022/1/8,6,,605
2022/1/9,7,,621
2022/1/10,1,,574
2022/1/11,2,,566
2022/1/12,3,,552
2022/1/13,4,,589
2022/1/14,5,,565
2022/1/15,6,,608
2022/1/16,7,,618
2022/1/17,1,,565
2022/1/18,2,,579
2022/1/19,3,,599
2022/1/20,4,,600
2022/1/21,5,,558
2022/1/22,6,,629
2022/1/23,7,,615
2022/1/24,1,,595
2022/1/25,2,,567
2022/1/26,3,,564
2022/1/27,4,,562
2022/1/28,5,,580
2022/1/29,6,,593
2022/1/30,7,,599
2022/1/31,1,CNYEVE,721
2022/2/1,2,CNY,668
2022/2/2,3,CNY,670
2022/2/3,4,CNY,670
2022/2/4,5,CNY,645
2022/2/5,6,CNY,701
2022/2/6,7,CNY,708
2022/2/7,1,,548
2022/2/8,2,,563
2022/2/9,3,,557
2022/2/10,4,,579
2022/2/11,5,,573
2022/2/12,6,,625
2022/2/13,7,,605
2022/2/14,1,,554
2022/2/15,2,,581
2022/2/16,3,,575
2022/2/17,4,,553
2022/2/18,5,,551
2022/2/19,6,,625
2022/2/20,7,,605
2022/2/21,1,,548
2022/2/22,2,,547
2022/2/23,3,,575
2022/2/24,4,,573
2022/2/25,5,,580
2022/2/26,6,,614
2022/2/27,7,,606
